Municipality of origin for majority of IDPs,Municipal section of origin for IDPs,District of origin for IDPs,IDPs counted
Port-au-Prince,6ème Turgeau,Delmas 2 - Saint-Martin - Tokyo,10480
Delmas,5ème Saint Martin,2ème Cite Saint Martin,6795
Port-au-Prince,6ème Turgeau,Village du Bicentenaire,4900
Port-au-Prince,7ème Morne l'Hopital,Savanne Pistaches,4800
Port-au-Prince,7ème Morne l'Hopital,Beauboeuf,4800
Port-au-Prince,6ème Turgeau,St Jean Bosco - Portail St Joseph,4250
Mirebalais,5ème Gascogne,,3500
Port-au-Prince,8ème Martissant,Bolosse,3410
Port-au-Prince,6ème Turgeau,Delmas 2 - Saint-Martin - Tokyo,2604
Port-au-Prince,6ème Turgeau,Delmas 2 - Saint-Martin - Tokyo,2500
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,2411
Port-au-Prince,6ème Turgeau,Delmas 2 - Saint-Martin - Tokyo,2292
Port-au-Prince,6ème Turgeau,Poste Marchand,1750
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Meyer - Dessources,1623
Port-au-Prince,8ème Martissant,Descayettes,1590
Port-au-Prince,8ème Martissant,Cite Neuf,1590
Cité Soleil,1ère Varreux,Boston,1587
Delmas,5ème Saint Martin,Nazon,1500
Port-au-Prince,6ème Turgeau,Fort National,1250
Cité Soleil,1ère Varreux,Sarthe,1081
Cité Soleil,1ère Varreux,Duviviers,1070
Cité Soleil,1ère Varreux,Pont-Rouge - Chancerelles,1053
Cité Soleil,1ère Varreux,Sarthe,1052
Croix-Des-Bouquets,3ème Petit Bois,Duval Ambroise,1010
Croix-Des-Bouquets,1ère Petit Bois,Duval,1000
Delmas,5ème Saint Martin,Carrefour Pean,1000
Delmas,5ème Saint Martin,Cite Numero 2,1000
Port-au-Prince,6ème Turgeau,St Jean Bosco - Portail St Joseph,1000
Port-au-Prince,8ème Martissant,Haut Bolosse,1000
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,800
Port-au-Prince,6ème Turgeau,Solino,800
Pétion-Ville,4ème Bellevue la Montagne,Pernier 24,789
Port-au-Prince,6ème Turgeau,Fort National,775
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,750
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,750
Croix-Des-Bouquets,3ème Petit Bois,Marassa - Santo - Djaboul,725
Port-au-Prince,7ème Morne l'Hopital,Savanne Pistaches,700
Port-au-Prince,7ème Morne l'Hopital,Savanne Pistaches,675
Delmas,5ème Saint Martin,Delmas 34,625
Cité Soleil,1ère Varreux,Projet Drouillard,615
Croix-Des-Bouquets,2ème Petit Bois,Latremblais,600
Croix-Des-Bouquets,3ème Petit Bois,Noilles,600
Port-au-Prince,6ème Turgeau,Lelio,600
Port-au-Prince,6ème Turgeau,Fort National,600
Port-au-Prince,8ème Martissant,Sion,600
Cité Soleil,1ère Varreux,Drouillard,557
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,552
Croix-Des-Bouquets,2ème Varreux (Marin),Bonrepos - Lizon,547
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,530
Port-au-Prince,6ème Turgeau,Fort National,525
Port-au-Prince,8ème Martissant,Fontamara Est,525
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,523
Cité Soleil,1ère Varreux,Pont-Rouge - Chancerelles,520
Port-au-Prince,7ème Morne l'Hopital,Savanne Pistaches,520
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,520
Cité Soleil,1ère Varreux,Brouklin,517
Cité Soleil,1ère Varreux,Soleil 1 & 2,510
Carrefour,10ème Thor,Domaine Ideal,500
Cité Soleil,1ère Varreux,Wharf Soleil,500
Port-au-Prince,7ème Morne l'Hopital,Savanne Pistaches,500
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,500
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,500
Port-au-Prince,6ème Turgeau,Fort National,500
Carrefour,10ème Thor,Morne-Tesserot,456
Port-au-Prince,7ème Morne l'Hopital,Savanne Pistaches,450
Port-au-Prince,6ème Turgeau,Fort National,450
Tabarre,3ème Bellevue,Croix-des-Missions,447
Cité Soleil,1ère Varreux,Hasco - Village Democratie,430
Pétion-Ville,6ème Aux Cadets,Wi,415
Cité Soleil,1ère Varreux,Projet Drouillard,405
Cité Soleil,1ère Varreux,Wharf Jeremie,400
Port-au-Prince,7ème Morne l'Hopital,Savanne Pistaches,400
Croix-Des-Bouquets,2ème Crochus,Corail - Jerusalem,400
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,400
Croix-Des-Bouquets,3ème Petit Bois,Noilles,400
Port-au-Prince,6ème Turgeau,Solino,395
Port-au-Prince,6ème Turgeau,Fort National,390
Croix-Des-Bouquets,2ème Crochus,Corail - Jerusalem,376
Tabarre,3ème Bellevue,Butte Boyer,376
Carrefour,16ème Taïfer,Ti kajou,370
Carrefour,11ème Rivière Froide,Phare Lamentin,360
Port-au-Prince,7ème Morne l'Hopital,Savanne Pistaches,350
