Municipality of origin for majority of IDPs,Municipal section of origin for IDPs,District of origin for IDPs,IDPs counted
Carrefour,10ème Thor,Domaine Ideal,500
Carrefour,10ème Thor,Morne-Tesserot,456
Carrefour,10ème Thor,Bizoton - Bergamot,300
Carrefour,10ème Thor,Larame,300
Carrefour,10ème Thor,Haut Chaud-Eau,240
Carrefour,10ème Thor,Bas Thorland,210
Carrefour,10ème Thor,Bois Dioute - Ti Kajou,150
Carrefour,10ème Thor,Do Karyann,120
Carrefour,10ème Thor,Bas Thorland,94
Carrefour,10ème Thor,Cocoyer - Bas Rails,60
Carrefour,10ème Thor,Mahotière,50
Carrefour,10ème Thor,Bas Bizoton,48
Carrefour,10ème Thor,Cote-Plage,24
Carrefour,11ème Rivière Froide,Phare Lamentin,360
Carrefour,11ème Rivière Froide,Gaston - Magron,210
Carrefour,11ème Rivière Froide,Paloma(Canne a  Sucre),210
Carrefour,11ème Rivière Froide,St-Charles - Lamentin,120
Carrefour,11ème Rivière Froide,Truitier - Canne-a-Sucre,110
Carrefour,11ème Rivière Froide,Village Petit Paradis,99
Carrefour,11ème Rivière Froide,Le Lambi,75
Carrefour,11ème Rivière Froide,Grande Ravine,24
Carrefour,16ème Taïfer,Ti kajou,370
Gressier,1ère Morne à Bateau,,270
Cité Soleil,1ère Varreux,Boston,1587
Cité Soleil,1ère Varreux,Sarthe,1081
Cité Soleil,1ère Varreux,Duviviers,1070
Cité Soleil,1ère Varreux,Pont-Rouge - Chancerelles,1053
Cité Soleil,1ère Varreux,Sarthe,1052
Cité Soleil,1ère Varreux,Projet Drouillard,615
Cité Soleil,1ère Varreux,Drouillard,557
Cité Soleil,1ère Varreux,Pont-Rouge - Chancerelles,520
Cité Soleil,1ère Varreux,Brouklin,517
Cité Soleil,1ère Varreux,Soleil 1 & 2,510
Cité Soleil,1ère Varreux,Wharf Soleil,500
Cité Soleil,1ère Varreux,Hasco - Village Democratie,430
Cité Soleil,1ère Varreux,Projet Drouillard,405
Cité Soleil,1ère Varreux,Wharf Jeremie,400
Cité Soleil,1ère Varreux,Village des Rapatries - Menetas,295
Cité Soleil,1ère Varreux,Zone Industrielle,292
Cité Soleil,1ère Varreux,Vaudreuil - Truttier,250
Cité Soleil,1ère Varreux,Terre-Noire - Blanchard,215
Cité Soleil,1ère Varreux,Brouklin,188
Cité Soleil,1ère Varreux,Projet Drouillard,160
Cité Soleil,1ère Varreux,Bois Neuf,140
Cité Soleil,1ère Varreux,Wharf Jeremie,135
Cité Soleil,1ère Varreux,Brouklin,131
Cité Soleil,1ère Varreux,Cite Linto 2,128
Cité Soleil,1ère Varreux,Wharf Jeremie,100
Cité Soleil,1ère Varreux,Bois Neuf,100
Cité Soleil,1ère Varreux,Drouillard,80
Cité Soleil,1ère Varreux,Bois Neuf,80
Cité Soleil,1ère Varreux,Ti Ayiti,79
Cité Soleil,1ère Varreux,Cite Fierte - Linto 1,77
Cité Soleil,1ère Varreux,Belecou,75
Cité Soleil,1ère Varreux,Brouklin,70
Cité Soleil,1ère Varreux,Macaya,44
Cité Soleil,1ère Varreux,Sarthe,43
Cité Soleil,1ère Varreux,Terre-Noire - Blanchard,10
Port-au-Prince,7ème Morne l'Hopital,Savanne Pistaches,4800
Port-au-Prince,7ème Morne l'Hopital,Beauboeuf,4800
Port-au-Prince,7ème Morne l'Hopital,Savanne Pistaches,700
Port-au-Prince,7ème Morne l'Hopital,Savanne Pistaches,675
Port-au-Prince,7ème Morne l'Hopital,Savanne Pistaches,520
Port-au-Prince,7ème Morne l'Hopital,Savanne Pistaches,500
Port-au-Prince,7ème Morne l'Hopital,Savanne Pistaches,450
Port-au-Prince,7ème Morne l'Hopital,Savanne Pistaches,400
Port-au-Prince,7ème Morne l'Hopital,Savanne Pistaches,350
Port-au-Prince,7ème Morne l'Hopital,Savanne Pistaches,320
Port-au-Prince,7ème Morne l'Hopital,Savanne Pistaches,250
Port-au-Prince,7ème Morne l'Hopital,Savanne Pistaches,250
Port-au-Prince,7ème Morne l'Hopital,Savanne Pistaches,200
