Evaluation date,Type of place evaluated,Commune name,Municipal section name,Neighborhood name,Name of the site,Spontaneous site type,Internally displaced households,IDPs counted,Site size in meters,Land ownership,Site creation date,Presence of IDPs?,Presence of old IDP returned?,Baby boys under 1 year old,Baby girls under a year old,Boys from 1 to 5 years old,Girls from 1 to 5 years old,Boys from 6 to 11 years old,Girls from 6 to 11 years old,Boys from 12 to 17 years old,Girls from 12 to 17 years old,People aged 60 and over,Department of origin for majority of IDPs,Municipality of origin for majority of IDPs,Municipal section of origin for IDPs,District of origin for IDPs,Date fled,Reason for fleeing,Reason why IDP chose to take refuge in this place,Is the place accessible?,Tension between displaced people and the host community?,Distribution of food received?,Health assistance,Assistance psychosocial,Assistance WASH,Distribution CASH,Education assistance,Possession of identity documents by the majority of displaced persons?,If not why ?,"What are the 3 main
security concerns in the
site?",Do boys attend school?,Do girls attend school?,Health problems,proportion vaccine cholera,Why not cholera vaccine,How much Death Cholera,Food source,Access to fertile land,Proportion of persons carrying out a subsistence activity
2023-02-20,Site,Port-au-Prince,1re Section Turgeau,Delmas 2 - Saint-Martin - Tokyo,Institut Monfort,School,2096,10480,Over 150 square meters,To private persons,2022-06-01,Yes,,30,40,472,605,150,200,517,626,1857,Ouest,Port-au-Prince,6ème Turgeau,Delmas 2 - Saint-Martin - Tokyo,2022-6,Attack/violence,Secure location closest to provenance,Yes,Yes,Yes,Yes,no,Yes,no,Yes,Yes,,Another gang gang fuss,some,some,infection_plaie diarrhee malnutrition,A few people (about 25%),Pas_vaccin fear,10,Purchase_ assault_hum,No access to cultivable land,some
2023-02-15,Site,Delmas,1re Section St Martin,2ème Cite Saint Martin,Camps zamor,Site installed on an air space,2107,6795,Over 150 square meters,To private persons,2022-08-01,Yes,,38,60,309,291,483,704,645,441,139,Ouest,Delmas,5ème Saint Martin,2ème Cite Saint Martin,2022-7,Attack/violence,Relationship or friendship with members of the host community,"No, because of security",no,Yes,Yes,Yes,no,no,no,Yes,,"Attack GA, G Fight gang gang police",some,some,Illness_peau cholera diarrhee,The majority of people (around 75%),other afraid,6,Purchase_Marche Production_Subsistance,"In any case, there is no cultivable land available in the area",some
2023-03-07,Host community,Port-au-Prince,1re Section Turgeau,Village du Bicentenaire,Not applicable to host communities,Not applicable to host communities,980,4900,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,Yes,300,400,350,300,350,400,400,450,180,Ouest,Port-au-Prince,6ème Turgeau,Village du Bicentenaire,2023-3,Attack/violence,Relationship or friendship with members of the host community,"No, because of physical access",no,no,no,no,no,no,no,Yes,,"Attack GA, G Fight gang gang police",half,half,diarrhea coughing,About half of the people,fear,,Borrow purchase_marche,"In any case, there is no cultivable land available in the area",some
2023-02-15,Host community,Port-au-Prince,1re Section Turgeau,La Grotte,Not applicable to host communities,Not applicable to host communities,800,4800,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,500,300,200,300,100,400,100,200,600,Ouest,Port-au-Prince,7ème Morne l'Hopital,Savanne Pistaches,2022-11,Attack/violence,Relationship or friendship with members of the host community,Yes,no,Yes,no,no,no,no,no,NSP,,other,half,majority,diarrhee disease_peau fever,Nobody,no_vaccin,,Purchase_ assault_hum,"In any case, there is no cultivable land available in the area",some
2023-03-09,Host community,Port-au-Prince,2e Section Morne l'Hopital,Beauboeuf,Not applicable to host communities,Not applicable to host communities,960,4800,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,Yes,300,500,200,400,300,450,350,400,300,Ouest,Port-au-Prince,7ème Morne l'Hopital,Beauboeuf,2022-11,Attack/violence,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,Yes,,"Ga attack, g gang font recruitment child gang",some,some,infection_plaie diarrhee malnutrition,About half of the people,fear,10,Borrow purchase_marche,No access to cultivable land,some
2023-02-21,Site,Port-au-Prince,1re Section Turgeau,St Jean Bosco - Portail St Joseph,Makaron,Community Center,850,4250,Over 150 square meters,Public space / government,2022-07-01,Yes,,250,300,300,350,460,500,400,400,200,Ouest,Port-au-Prince,6ème Turgeau,St Jean Bosco - Portail St Joseph,2022-7,Attack/violence,Secure location closest to provenance,Yes,Yes,no,no,no,no,no,no,Yes,,"fight gang attack ga, g vol",some,some,diarrhee infection_plaie malnutrition,About half of the people,Pas_souha was afraid,10,Borrow purchase_marche,No access to cultivable land,none
2023-02-24,Host community,Croix-Des-Bouquets,2e Section des Varreux,Canaan - Jerusalem,Not applicable to host communities,Not applicable to host communities,700,3500,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,50,150,200,400,300,700,600,800,60,Centre,Mirebalais,5ème Gascogne,,2022-10,Attack/violence,Secure location closest to provenance,Yes,no,no,no,no,no,no,no,NSP,,Kidnapping Vol Violence Sexual,some,some,Malnutrition fever,A few people (about 25%),Pas_vaccin fear,,Borrowing bake purchase_marche,No access to cultivable land,some
2023-02-28,Host community,Port-au-Prince,3e Section Martissant,Bolosse,Not applicable to host communities,Not applicable to host communities,682,3410,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,Yes,70,120,200,250,300,350,200,300,90,Ouest,Port-au-Prince,8ème Martissant,Bolosse,2020-6,Attack/violence,Secure location closest to provenance,"No, because of security",Yes,no,no,no,no,no,no,Yes,,"fight gang attack ga, g recruitment child gang",half,half,Fever infection_plaie diarrhee,About half of the people,fear,6,Borrowing barter,"In any case, there is no cultivable land available in the area",some
2023-02-22,Site,Port-au-Prince,1re Section Turgeau,Delmas 2 - Saint-Martin - Tokyo,Airport Ciné,Site installed on an air space,651,2604,Over 150 square meters,To private persons,2022-07-01,Yes,,100,100,210,220,200,220,150,160,60,Ouest,Port-au-Prince,6ème Turgeau,Delmas 2 - Saint-Martin - Tokyo,2022-6,Attack/violence,Secure location closest to provenance,Yes,no,no,no,no,no,no,no,no,No office,"fight gang gang font attacks ga, g",some,some,Diarrhee Malnutrition Fever,A few people (about 25%),no_vaccin not,8,Purchase_Marche loan,No access to cultivable land,some
2023-02-21,Site,Port-au-Prince,1re Section Turgeau,St Jean Bosco - Portail St Joseph,Household,Site installed on an air space,500,2500,Over 150 square meters,To private persons,2022-07-01,Yes,,120,150,100,160,175,200,280,350,120,Ouest,Port-au-Prince,6ème Turgeau,Delmas 2 - Saint-Martin - Tokyo,2022-6,Attack/violence,Secure location closest to provenance,Yes,no,no,no,no,no,no,no,Yes,,"Attack GA, G Fight gang Vol",some,some,infection_plaie malnutrition diarrhee,A few people (about 25%),no_vaccin not,6,Borrow purchase_marche,No access to cultivable land,some
