District,Count,Percentage
Canaan - Jerusalem,64,22.299651567944252
Bas Martissant,17,5.923344947735192
Savanne Pistaches,13,4.529616724738676
Pernier 24,7,2.4390243902439024
Fort National,7,2.4390243902439024
Chavannes Prolongee,6,2.0905923344947737
Delmas 2 - Saint-Martin - Tokyo,4,1.3937282229965158
Brouklin,4,1.3937282229965158
Frères,4,1.3937282229965158
Butte Boyer,3,1.0452961672473868
Bonrepos - Lizon,3,1.0452961672473868
Fontamara Est,3,1.0452961672473868
Wharf Jeremie,3,1.0452961672473868
Torcelle,3,1.0452961672473868
Corail,3,1.0452961672473868
Pernier,3,1.0452961672473868
Bois Neuf,3,1.0452961672473868
Laboule,3,1.0452961672473868
Metivier,3,1.0452961672473868
Projet Drouillard,3,1.0452961672473868
Tabarre 27,3,1.0452961672473868
Sarthe,3,1.0452961672473868
Carrefour - Feuilles,2,0.6968641114982579
Duval Ambroise,2,0.6968641114982579
St Jean Bosco - Portail St Joseph,2,0.6968641114982579
2ème Cite Saint Martin,2,0.6968641114982579
Terre-Noire - Blanchard,2,0.6968641114982579
Cite de l'Eternel,2,0.6968641114982579
Corail - Jerusalem,2,0.6968641114982579
Bas Thorland,2,0.6968641114982579
Carrefour Pean,2,0.6968641114982579
Meyer - Dessources,2,0.6968641114982579
Pont-Rouge - Chancerelles,2,0.6968641114982579
Cite Louverture,2,0.6968641114982579
Drouillard,2,0.6968641114982579
Poste Marchand,2,0.6968641114982579
Solino,2,0.6968641114982579
Noilles,2,0.6968641114982579
Duval,2,0.6968641114982579
Latremblais,2,0.6968641114982579
Depio - Segur -Lillavois,1,0.34843205574912894
Bellanton,1,0.34843205574912894
Beauboeuf,1,0.34843205574912894
Bois Greffin,1,0.34843205574912894
Marin,1,0.34843205574912894
Malick,1,0.34843205574912894
Champ-de-Mars,1,0.34843205574912894
Do Karyann,1,0.34843205574912894
Cotta - Ferme Blanchard,1,0.34843205574912894
St-Charles - Lamentin,1,0.34843205574912894
Delmas 2,1,0.34843205574912894
Girardeau,1,0.34843205574912894
Truitier - Canne-a-Sucre,1,0.34843205574912894
Village du Bicentenaire,1,0.34843205574912894
Delmas 30,1,0.34843205574912894
Cite Numero 2,1,0.34843205574912894
Le Lambi,1,0.34843205574912894
Village Petit Paradis,1,0.34843205574912894
Ti Ayiti,1,0.34843205574912894
Digneron,1,0.34843205574912894
Delmas 5,1,0.34843205574912894
"Pernier, gros jean,metivier",1,0.34843205574912894
1ère Cite Saint Martin,1,0.34843205574912894
Martissant - Cite Manigat,1,0.34843205574912894
Meyotte,1,0.34843205574912894
Bel-air,1,0.34843205574912894
Cote-Plage,1,0.34843205574912894
Grande Ravine,1,0.34843205574912894
Christ-Roi - Nan Moise,1,0.34843205574912894
Macaya,1,0.34843205574912894
Fontamara Ouest,1,0.34843205574912894
Bas Bizoton,1,0.34843205574912894
Deslouis - Descayettes,1,0.34843205574912894
Grand Ravine,1,0.34843205574912894
Mahotière,1,0.34843205574912894
Cocoyer - Bas Rails,1,0.34843205574912894
Delmas 32 - Lakou New York - REMY,1,0.34843205574912894
Desire - Boutilier,1,0.34843205574912894
Belecou,1,0.34843205574912894
Cite Fierte - Linto 1,1,0.34843205574912894
Cite Linto 2,1,0.34843205574912894
Garnier - Diguer - Dorlène,1,0.34843205574912894
Martissant - Breard - Sainte-Bernadette,1,0.34843205574912894
Calbacher - Claire-Heureuse et Bois Source - Gros Jean,1,0.34843205574912894
La Belair,1,0.34843205574912894
Phare Lamentin,1,0.34843205574912894
Ti kajou,1,0.34843205574912894
Nazon,1,0.34843205574912894
Wi,1,0.34843205574912894
Hasco - Village Democratie,1,0.34843205574912894
Croix-des-Missions,1,0.34843205574912894
Morne-Tesserot,1,0.34843205574912894
Wharf Soleil,1,0.34843205574912894
Domaine Ideal,1,0.34843205574912894
Soleil 1 & 2,1,0.34843205574912894
Duviviers,1,0.34843205574912894
Lelio,1,0.34843205574912894
Sion,1,0.34843205574912894
Delmas 34,1,0.34843205574912894
Marassa - Santo - Djaboul,1,0.34843205574912894
Haut Bolosse,1,0.34843205574912894
Boston,1,0.34843205574912894
Nan Citron - Village Michel,1,0.34843205574912894
Bolosse,1,0.34843205574912894
Cite Neuf,1,0.34843205574912894
Clercine,1,0.34843205574912894
Bois Dioute - Ti Kajou,1,0.34843205574912894
Morne Ti-source,1,0.34843205574912894
Descayettes,1,0.34843205574912894
STEP - Eglise Baptiste de Bolosse,1,0.34843205574912894
Paloma(Canne a  Sucre),1,0.34843205574912894
Gaston - Magron,1,0.34843205574912894
Greffin,1,0.34843205574912894
Haut Chaud-Eau,1,0.34843205574912894
Morne Madan Garnot,1,0.34843205574912894
Vaudreuil - Truttier,1,0.34843205574912894
Grand Caye - Marre Bizoton,1,0.34843205574912894
Zone Industrielle,1,0.34843205574912894
Village des Rapatries - Menetas,1,0.34843205574912894
CANAAN,1,0.34843205574912894
Larame,1,0.34843205574912894
Bizoton - Bergamot,1,0.34843205574912894
Delmas 33,1,0.34843205574912894
